NAME,TYPE,UNIT,ADDR,RAW_ZERO,RAW_FULL,ENG_ZERO,ENG_FULL,ENG_UNITS,FORMAT,COMMENT,EDITCODE,LINKED,OID,REF1,REF2,DEADBAND,CUSTOM,TAGGENLINK,CLUSTER,EQUIP,ITEM,HISTORIAN,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,Category,Reason
MC1_LV301_AI,REAL,MC1_IODev,%MW62,,,,,,,2#三次分级旋流器给矿泵池加水管道阀位反馈,,,0x0001b4be,,,,,,,,,,,,,,,,,,probable,控制泵池加水量的执行机构真实反馈，代表PID回路的调节动作，与矿浆浓度控制效果紧密绑定。
MC1_FET401_AI,REAL,MC1_IODev,%MW66,,,,,,,4#三次分级旋流器沉砂加水管道流量,,,0x0001b4c0,,,,,,,,,,,,,,,,,,probable,4#旋流器底流浓度的调节关键，保证塔磨机有合适的矿浆浓度进行研磨，对解离至关重要。
MC1_FV401_AI,REAL,MC1_IODev,%MW68,,,,,,,4#三次分级旋流器沉砂加水管道阀位反馈,,,0x0001b4c1,,,,,,,,,,,,,,,,,,probable,沉砂加水的阀门反馈连续变量，可用于验证加水流量计的合理性或表征当前调节裕量，高度关联。
MC1_FET402_AI,REAL,MC1_IODev,%MW70,,,,,,,4#三次分级旋流器给矿管道流量,,,0x0001b4c2,,,,,,,,,,,,,,,,,,probable,4#旋流器给矿流量是反映此单元处理量的宏观表征变量，过载会直接引起品位下降。
MC1_FET501_AI,REAL,MC1_IODev,%MW82,,,,,,,5#三次分级旋流器沉砂加水管道流量,,,0x0001b4c8,,,,,,,,,,,,,,,,,,probable,5#旋流器的底流润湿补水量，干系着对应磨机的运行电流和解离效率，存在物理耦合关系。
MC1_FV501_AI,REAL,MC1_IODev,%MW84,,,,,,,5#三次分级旋流器沉砂加水管道阀位反馈,,,0x0001b4c9,,,,,,,,,,,,,,,,,,probable,水阀的开度反馈，真实反映工艺调节对塔磨机浓度的干预程度。
MC1_FET502_AI,REAL,MC1_IODev,%MW86,,,,,,,5#三次分级旋流器给矿管道流量,,,0x0001b4ca,,,,,,,,,,,,,,,,,,probable,给矿流量大小体现了5#旋流器的瞬时负荷，是预测分级跑粗概率的关键特征组合之一。
MC1_LET501_AI,REAL,MC1_IODev,%MW90,,,,,,,3#三次分级旋流器给矿泵池液位,,,0x0001b4cc,,,,,,,,,,,,,,,,,,probable,3#给矿泵池液位如果发生周期性震荡，直接意味泵喘振并恶化旋流器给料压力，是识别系统异常的重要标志。
MC1_FET503_AI,REAL,MC1_IODev,%MW92,,,,,,,3#三次分级旋流器给矿泵池加水管道流量,,,0x0001b4cd,,,,,,,,,,,,,,,,,,probable,入旋流器前稀释矿浆用的关键补水流，黏度影响分级切割粒径，是控制TFe和SiO2达标的核心调节变量。
MC1_LV501_AI,REAL,MC1_IODev,%MW94,,,,,,,3#三次分级旋流器给矿泵池加水管道阀位反馈,,,0x0001b4ce,,,,,,,,,,,,,,,,,,probable,阀门开度反馈提供了自动补水回路的执行状态，与上述流量传感器互为确证，属于连续控制量。
MC1_FET601_AI,REAL,MC1_IODev,%MW98,,,,,,,6#三次分级旋流器沉砂加水管道流量,,,0x0001b4d0,,,,,,,,,,,,,,,,,,probable,6#塔磨的给矿浓度调节参数，如果调节失效会导致6#塔磨机粉碎效果下降，影响综合品位。
MC1_FV601_AI,REAL,MC1_IODev,%MW100,,,,,,,6#三次分级旋流器沉砂加水管道阀位反馈,,,0x0001b4d1,,,,,,,,,,,,,,,,,,probable,阀门开度真实反馈值，决定了6#塔磨内部的物料状态，具有明显的因果关联性。
MC1_FET602_AI,REAL,MC1_IODev,%MW102,,,,,,,6#三次分级旋流器给矿管道流量,,,0x0001b4d2,,,,,,,,,,,,,,,,,,probable,三次分级旋流器给矿流量是流体输送与分级工艺的核心连续物理量。流量的变化直接决定旋流器内部的离心流场压力和矿浆比重，是影响分级细度及后续解离度和精矿品位的直接相关变量。
MC1_LET1101_AI,REAL,MC1_IODev,%MW106,,,,,,,1#事故池液位，备用,,,0x0001b4d4,,,,,,,,,,,,,,,,,,questionable,事故池液位高表明车间发生了跑冒滴漏等扰动，属于强烈的干扰期。但此变量附带了‘备用’字样，可能未实际连接或信号不准，因此数据的置信度和使用价值存疑。
MC1_FV101_AO,REAL,MC1_IODev,%MW114,,,,,,,1#三次分级旋流器沉砂加水管道阀位给定,,,0x0001b4d8,,,,,,,,,,,,,,,,,,probable,沉砂加水阀开度直接调节返回塔磨机的底流浓度。底流太干会导致糊球，太稀会引发短路，此给定量是保证磨矿效率的核心操作手柄。
MC1_FV201_AO,REAL,MC1_IODev,%MW116,,,,,,,2#三次分级旋流器沉砂加水管道阀位给定,,,0x0001b4d9,,,,,,,,,,,,,,,,,,probable,2#沉砂加水阀开度给定，同1#机理一致，是控制二段或塔磨机浓度、维持系统正常磨矿解离的必要调节参数。
MC1_LV101_AO,REAL,MC1_IODev,%MW118,,,,,,,1#三次分级旋流器给矿泵池加水阀位给定,,,0x0001b4da,,,,,,,,,,,,,,,,,,probable,给矿泵池补水阀开度用于调节旋流器入料浓度。浓度过高会导致跑粗，进而致使精矿品位暴跌，是模型必须关注的关键闭环控制量。
MC1_FV301_AO,REAL,MC1_IODev,%MW122,,,,,,,3#三次分级旋流器沉砂加水管道阀位给定,,,0x0001b4dc,,,,,,,,,,,,,,,,,,probable,3#沉砂加水阀位给定，直接决定塔磨机给料端的水分平衡，对维持稳定磨矿和解离度起决定性作用。
MC1_FV401_AO,REAL,MC1_IODev,%MW124,,,,,,,4#三次分级旋流器沉砂加水管道阀位给定,,,0x0001b4dd,,,,,,,,,,,,,,,,,,probable,4#沉砂加水阀位给定，直接决定塔磨机给料端的水分平衡，对维持稳定磨矿和解离度起决定性作用。
MC1_LV301_AO,REAL,MC1_IODev,%MW126,,,,,,,2#三次分级旋流器给矿泵池加水阀位给定,,,0x0001b4de,,,,,,,,,,,,,,,,,,probable,2#给矿泵池加水阀位给定，用于控制进入旋流器的矿浆黏度和浓度，防范因粘度突变带来的跑粗或分级恶化。
MC1_FV501_AO,REAL,MC1_IODev,%MW130,,,,,,,5#三次分级旋流器沉砂加水管道阀位给定,,,0x0001b4e0,,,,,,,,,,,,,,,,,,probable,5#沉砂加水阀位给定，调节旋流器底流进入塔磨前的水分状态，保障物料研磨效率的重要手柄。
MC1_FV601_AO,REAL,MC1_IODev,%MW132,,,,,,,6#三次分级旋流器沉砂加水管道阀位给定,,,0x0001b4e1,,,,,,,,,,,,,,,,,,probable,6#沉砂加水阀位给定，调节旋流器底流进入塔磨前的水分状态，保障物料研磨效率的重要手柄。
MC1_LV501_AO,REAL,MC1_IODev,%MW134,,,,,,,3#三次分级旋流器给矿泵池加水阀位给定,,,0x0001b4e2,,,,,,,,,,,,,,,,,,probable,3#给矿泵池加水阀位给定，调节入料浓度，保障溢流细度合格，对后续强磁选品位有极大前置影响。
MC1_GKB701_AO,REAL,MC1_IODev,%MW146,,,,,,,1#三旋给矿泵频率给定,,,0x0001b4e8,,,,,,,,,,,,,,,,,,probable,三旋给矿泵频率给定值。虽然存在设定与实际反馈不符的风险（例如卡死死区），但作为控制指令，它描绘了系统维持旋流器压力的期望轨迹，包含直接因果信息。
MC1_GKB701_HZ,REAL,MC1_IODev,%MW148,,,,,,,1#三旋给矿泵频率反馈,,,0x0001b4e9,,,,,,,,,,,,,,,,,,probable,给矿泵频率反馈值，直接决定了旋流器的给矿压力和离心力，是决定溢流细度和单体解离度的绝对核心操作量。
MC1_GKB701_DL,REAL,MC1_IODev,%MW150,,,,,,,1#三旋给矿泵电流,,,0x0001b4ea,,,,,,,,,,,,,,,,,,probable,给矿泵电流与矿浆的比重（浓度）呈现强正相关。结合频率可以反推泵池浓度的突变与否，是跑粗的重要预警指标。
MC1_GKB701_P,REAL,MC1_IODev,%MW152,,,,,,,1#三旋给矿泵比例值,,,0x0001b4eb,,,,,,,,,,,,,,,,,,questionable,PID控制器的比例(P)增益值。属于自控系统的底层算法参数，不代表工艺流体物理状态。虽可能反映系统调谐健康度，但与最终品位缺乏直接的物质级因果链。
MC1_GKB701_I,INT,MC1_IODev,%MW154,,,,,,,1#三旋给矿泵积分值,,,0x0001b4ec,,,,,,,,,,,,,,,,,,questionable,PID控制器的积分(I)时间参数。同比例参数一样，它反映的是调节速度，并不是实际的物料状态特征，很难直接在模型中作为连续特征去拟合品位。
MC1_GKB702_AO,REAL,MC1_IODev,%MW156,,,,,,,2#三旋给矿泵频率给定,,,0x0001b4ed,,,,,,,,,,,,,,,,,,probable,2#给矿泵频率给定，代表了操作逻辑试图对旋流器施加的驱动力。
MC1_GKB702_HZ,REAL,MC1_IODev,%MW158,,,,,,,2#三旋给矿泵频率反馈,,,0x0001b4ee,,,,,,,,,,,,,,,,,,probable,2#给矿泵频率反馈，反映了真实的旋转速度和输送做功，决定旋流器分级压力。
MC1_GKB702_DL,REAL,MC1_IODev,%MW160,,,,,,,2#三旋给矿泵电流,,,0x0001b4ef,,,,,,,,,,,,,,,,,,probable,2#给矿泵电流，实时反映了所输送矿浆的负荷及浓度，是预防跑粗事故的监测核心。
MC1_GKB702_P,REAL,MC1_IODev,%MW162,,,,,,,2#三旋给矿泵比例值,,,0x0001b4f0,,,,,,,,,,,,,,,,,,questionable,2#给矿泵的PID比例值，属于自动化底层参数，与流体状态无直接物质转化关系。
MC1_GKB702_I,INT,MC1_IODev,%MW164,,,,,,,2#三旋给矿泵积分值,,,0x0001b4f1,,,,,,,,,,,,,,,,,,questionable,2#给矿泵的PID积分值，属于控制环时间常数参数，置信度对品位预测而言非常可疑。
MC1_GKB703_AO,REAL,MC1_IODev,%MW166,,,,,,,3#三旋给矿泵频率给定,,,0x0001b4f2,,,,,,,,,,,,,,,,,,probable,3#给矿泵频率给定，工艺设定参数。
MC1_GKB703_HZ,REAL,MC1_IODev,%MW168,,,,,,,3#三旋给矿泵频率反馈,,,0x0001b4f3,,,,,,,,,,,,,,,,,,probable,3#给矿泵频率反馈，真实的压力与流量驱动力源头。
MC1_GKB703_DL,REAL,MC1_IODev,%MW170,,,,,,,3#三旋给矿泵电流,,,0x0001b4f4,,,,,,,,,,,,,,,,,,probable,3#给矿泵电流，直接相关于矿浆浓度与粘度。
MC1_GKB703_P,REAL,MC1_IODev,%MW172,,,,,,,3#三旋给矿泵比例值,,,0x0001b4f5,,,,,,,,,,,,,,,,,,questionable,3#给矿泵PID比例值，系统内部系数，工艺因果性不明。
MC1_GKB703_I,INT,MC1_IODev,%MW174,,,,,,,3#三旋给矿泵积分值,,,0x0001b4f6,,,,,,,,,,,,,,,,,,questionable,3#给矿泵PID积分值，系统内部系数，工艺因果性不明。
MC1_GKB704_AO,REAL,MC1_IODev,%MW176,,,,,,,4#三旋给矿泵频率给定,,,0x0001b4f7,,,,,,,,,,,,,,,,,,probable,4#给矿泵频率给定，旋流器压力的给定手柄。
MC1_GKB704_HZ,REAL,MC1_IODev,%MW178,,,,,,,4#三旋给矿泵频率反馈,,,0x0001b4f8,,,,,,,,,,,,,,,,,,probable,4#给矿泵频率反馈，旋流器实际分级强度的关键参数。
MC1_GKB704_DL,REAL,MC1_IODev,%MW180,,,,,,,4#三旋给矿泵电流,,,0x0001b4f9,,,,,,,,,,,,,,,,,,probable,4#给矿泵电流，直接表征管路流体重量（浓度）。
MC1_GKB704_P,REAL,MC1_IODev,%MW182,,,,,,,4#三旋给矿泵比例值,,,0x0001b4fa,,,,,,,,,,,,,,,,,,questionable,4#给矿泵PID比例值，软件层面的计算常数，并不直接改变物料的解离状态。
MC1_GKB704_I,INT,MC1_IODev,%MW184,,,,,,,4#三旋给矿泵积分值,,,0x0001b4fb,,,,,,,,,,,,,,,,,,questionable,4#给矿泵PID积分值，软件层面的计算常数，并不直接改变物料的解离状态。
MC1_GKB705_AO,REAL,MC1_IODev,%MW186,,,,,,,5#三旋给矿泵频率给定,,,0x0001b4fc,,,,,,,,,,,,,,,,,,probable,5#给矿泵频率给定，流体闭环系统的期望转速基准。
MC1_GKB705_HZ,REAL,MC1_IODev,%MW188,,,,,,,5#三旋给矿泵频率反馈,,,0x0001b4fd,,,,,,,,,,,,,,,,,,probable,5#给矿泵频率反馈，极其重要的物理因果输入，决定压力。
MC1_GKB705_DL,REAL,MC1_IODev,%MW190,,,,,,,5#三旋给矿泵电流,,,0x0001b4fe,,,,,,,,,,,,,,,,,,probable,5#给矿泵电流，不仅能识别跑粗风险，还能用于探测空管、抽空等异常工况。
MC1_GKB705_P,REAL,MC1_IODev,%MW192,,,,,,,5#三旋给矿泵比例值,,,0x0001b4ff,,,,,,,,,,,,,,,,,,questionable,5#给矿泵PID比例参数，对建模拟合精矿品位没有实质性的流体动力学意义。
MC1_GKB705_I,INT,MC1_IODev,%MW194,,,,,,,5#三旋给矿泵积分值,,,0x0001b500,,,,,,,,,,,,,,,,,,questionable,5#给矿泵PID积分参数，对建模拟合精矿品位没有实质性的流体动力学意义。
MC1_GKB706_AO,REAL,MC1_IODev,%MW196,,,,,,,6#三旋给矿泵频率给定,,,0x0001b501,,,,,,,,,,,,,,,,,,probable,6#给矿泵频率给定，控制旋流器压力的期望值输入。
MC1_GKB706_HZ,REAL,MC1_IODev,%MW198,,,,,,,6#三旋给矿泵频率反馈,,,0x0001b502,,,,,,,,,,,,,,,,,,probable,6#给矿泵频率反馈，对真实离心分离强度的最准确映射。
MC1_GKB706_DL,REAL,MC1_IODev,%MW200,,,,,,,6#三旋给矿泵电流,,,0x0001b503,,,,,,,,,,,,,,,,,,probable,6#给矿泵电流，真实反馈泵对物料做功的强度和物料比重状况。
MC1_GKB707_AO,REAL,MC1_IODev,%MW206,,,,,,,7#三旋给矿泵频率给定,,,0x0001b506,,,,,,,,,,,,,,,,,,probable,给矿泵的频率给定值决定了旋流器的给矿压力和流量，直接影响旋流器的离心分级效果和溢流细度，是决定矿物解离度的核心控制量。
MC1_GKB707_HZ,REAL,MC1_IODev,%MW208,,,,,,,7#三旋给矿泵频率反馈,,,0x0001b507,,,,,,,,,,,,,,,,,,probable,给矿泵的频率反馈值代表了设备实际运行的转速，直接关联旋流器入料压力和系统动力学状态，与精矿品位有明确的因果关系。
MC1_GKB707_DL,REAL,MC1_IODev,%MW210,,,,,,,7#三旋给矿泵电流,,,0x0001b508,,,,,,,,,,,,,,,,,,probable,给矿泵电流大小不仅与转速有关，还直接与输送矿浆的浓度（比重）呈正相关。结合频率可以反推入料浓度，是判断分级效果的核心连续变量。
MC1_GKB708_AO,REAL,MC1_IODev,%MW216,,,,,,,8#三旋给矿泵频率给定,,,0x0001b50b,,,,,,,,,,,,,,,,,,probable,旋流器给矿泵频率给定直接决定泵的出力和旋流器给矿压力，属于调节旋流器分级粒度的核心操作手柄。
MC1_GKB708_HZ,REAL,MC1_IODev,%MW218,,,,,,,8#三旋给矿泵频率反馈,,,0x0001b50c,,,,,,,,,,,,,,,,,,probable,旋流器给矿泵频率反馈是泵实际出力的真实体现，直接反映压力和流量状态，是影响后续分离效果的关键变量。
MC1_GKB708_DL,REAL,MC1_IODev,%MW220,,,,,,,8#三旋给矿泵电流,,,0x0001b50d,,,,,,,,,,,,,,,,,,probable,泵电流是矿浆浓度和流量的物理表征，矿浆比重的波动会直接体现在电流上，对预测旋流器是否跑粗至关重要。
MC1_GKB709_AO,REAL,MC1_IODev,%MW226,,,,,,,9#三旋给矿泵频率给定,,,0x0001b510,,,,,,,,,,,,,,,,,,probable,泵频率给定是操作员或上层控制系统对流体输送动力的核心调节指令，直接关联旋流器分级指标。
MC1_GKB709_HZ,REAL,MC1_IODev,%MW228,,,,,,,9#三旋给矿泵频率反馈,,,0x0001b511,,,,,,,,,,,,,,,,,,probable,泵频率反馈真实反映了流体输送系统的运行状态，是评估给矿压力是否稳定的直接依据。
MC1_GKB709_DL,REAL,MC1_IODev,%MW230,,,,,,,9#三旋给矿泵电流,,,0x0001b512,,,,,,,,,,,,,,,,,,probable,给矿泵电流的变化能灵敏地反映泵池液位及矿浆浓度的变化，是识别给矿是否异常的核心特征。
MC1_GKB710_AO,REAL,MC1_IODev,%MW236,,,,,,,10#三旋给矿泵频率给定,,,0x0001b515,,,,,,,,,,,,,,,,,,probable,频率给定反映了系统期望的给矿动力，与分级压力紧密耦合，是品位预测的重要输入特征。
MC1_GKB710_HZ,REAL,MC1_IODev,%MW238,,,,,,,10#三旋给矿泵频率反馈,,,0x0001b516,,,,,,,,,,,,,,,,,,probable,频率反馈不仅提供转速信息，结合给矿浓度还能帮助模型识别泵是否处于抽空等异常状态。
MC1_GKB710_DL,REAL,MC1_IODev,%MW240,,,,,,,10#三旋给矿泵电流,,,0x0001b517,,,,,,,,,,,,,,,,,,probable,电流不仅包含负荷信息，更是矿浆比重变化的镜像，对维持解离度和稳定品位有重要相关性。
MC1_GKB711_AO,REAL,MC1_IODev,%MW246,,,,,,,11#三旋给矿泵频率给定,,,0x0001b51a,,,,,,,,,,,,,,,,,,probable,给矿泵变频给定直接关联旋流器给矿压力，这是控制溢流跑粗、影响后续磁选品位的关键节点。
MC1_GKB711_HZ,REAL,MC1_IODev,%MW248,,,,,,,11#三旋给矿泵频率反馈,,,0x0001b51b,,,,,,,,,,,,,,,,,,probable,实际运行频率是系统动力学表现的核心，与给矿流量和压力强相关。
MC1_GKB711_DL,REAL,MC1_IODev,%MW250,,,,,,,11#三旋给矿泵电流,,,0x0001b51c,,,,,,,,,,,,,,,,,,probable,电机电流不仅表征能耗，更能反映入料密度的波动情况，是判断物料连续性的关键。
MC1_GKB712_AO,REAL,MC1_IODev,%MW256,,,,,,,12#三旋给矿泵频率给定,,,0x0001b51f,,,,,,,,,,,,,,,,,,probable,给矿泵控制指令是系统物料流转的源动力，与产量和质量均有因果联系。
MC1_GKB712_HZ,REAL,MC1_IODev,%MW258,,,,,,,12#三旋给矿泵频率反馈,,,0x0001b520,,,,,,,,,,,,,,,,,,probable,频率反馈真实体现设备的实时做功状态，决定了旋流器内部流场的离心力。
MC1_GKB712_DL,REAL,MC1_IODev,%MW260,,,,,,,12#三旋给矿泵电流,,,0x0001b521,,,,,,,,,,,,,,,,,,probable,电流大小是磨矿分级回路中物质守恒状态的侧面反映，具有极高的特征价值。
MC1_LV101_AOH,REAL,MC1_IODev,%MW290,,,,,,,1#三次分级旋流器给矿泵池加水阀门控制目标上限,,,0x0001b530,,,,,,,,,,,,,,,,,,questionable,阀门控制目标的上限属于人为设定的系统边界条件，可能因操作需求偶尔调整，会改变控制系统运行区间，但本身不是连续反馈，具有较强的不确定性。
MC1_LV101_AOL,REAL,MC1_IODev,%MW292,,,,,,,1#三次分级旋流器给矿泵池加水阀门控制目标下限,,,0x0001b531,,,,,,,,,,,,,,,,,,questionable,阀门控制目标的下限约束，界定了闭环控制的最小开度，可能会影响低负荷时的浓度调节，属于边界条件设定，状态模糊。
MC1_LV301_AOH,REAL,MC1_IODev,%MW294,,,,,,,2#三次分级旋流器给矿泵池加水阀门控制目标上限,,,0x0001b532,,,,,,,,,,,,,,,,,,questionable,泵池加水阀的控制上限约束，改变它代表工人对系统调控范围的人为干预，可能引发稳态切换，属于边界扰动变量。
MC1_LV301_AOL,REAL,MC1_IODev,%MW296,,,,,,,2#三次分级旋流器给矿泵池加水阀门控制目标下限,,,0x0001b533,,,,,,,,,,,,,,,,,,questionable,泵池加水阀的控制下限约束，在极限工况下可能导致阀门卡边运行，其设定值的变动需要特殊处理，归为可疑变量。
MC1_LV501_AOH,REAL,MC1_IODev,%MW298,,,,,,,3#三次分级旋流器给矿泵池加水阀门控制目标上限,,,0x0001b534,,,,,,,,,,,,,,,,,,questionable,控制目标上限通常为阶跃式的设定值，其调整代表了操作策略的变更，属于自动化运行区间的边界限制。
MC1_LV501_AOL,REAL,MC1_IODev,%MW300,,,,,,,3#三次分级旋流器给矿泵池加水阀门控制目标下限,,,0x0001b535,,,,,,,,,,,,,,,,,,questionable,控制目标下限的改变限制了系统自调节的能力下限，与异常工况的处理可能有间接关联，属于边界约束。
MC1_GKB701_SP,REAL,MC1_IODev,%MW302,,,,,,,1#三旋给矿泵设定值,,,0x0001b536,,,,,,,,,,,,,,,,,,probable,1#三旋给矿泵设定值决定了泵的运行频率或目标液位，直接控制旋流器的给矿压力与流量，是决定分级粒度和精矿品位的基础控制变量，属于核心连续控制量。
MC1_GKB702_SP,REAL,MC1_IODev,%MW304,,,,,,,2#三旋给矿泵设定值,,,0x0001b537,,,,,,,,,,,,,,,,,,probable,2#三旋给矿泵设定值控制着对应的旋流器给矿压力与流量，直接影响分级粒度与后续强磁选的品位表现，是重要的工艺操作手柄。
MC1_GKB703_SP,REAL,MC1_IODev,%MW306,,,,,,,3#三旋给矿泵设定值,,,0x0001b538,,,,,,,,,,,,,,,,,,probable,3#三旋给矿泵设定值直接关联变频器的输出，决定了三段旋流器的离心力和分级效率，对解离度和最终品位有强因果关系。
MC1_GKB704_SP,REAL,MC1_IODev,%MW308,,,,,,,4#三旋给矿泵设定值,,,0x0001b539,,,,,,,,,,,,,,,,,,probable,4#三旋给矿泵设定值是调节旋流器入料状态的核心参数，压力与流量的变化将直接改变溢流细度，从而影响精矿品位。
MC1_GKB705_SP,REAL,MC1_IODev,%MW310,,,,,,,5#三旋给矿泵设定值,,,0x0001b53a,,,,,,,,,,,,,,,,,,probable,5#三旋给矿泵设定值控制泵的工作强度，决定旋流器给矿压力。压力过低会导致粗颗粒进入溢流影响品位，属于核心操作量。
MC1_GKB706_SP,REAL,MC1_IODev,%MW312,,,,,,,6#三旋给矿泵设定值,,,0x0001b53b,,,,,,,,,,,,,,,,,,probable,6#三旋给矿泵设定值控制该旋流器组的给矿动能，影响粒度分级边界，是决定后续磁选入料粒度分布的关键控制变量。
