NAME,TYPE,COMMENT,Category,Reason,Sample_Data,ADDR,CLUSTER,CUSTOM,CUSTOM1,CUSTOM2,CUSTOM3,CUSTOM4,CUSTOM5,CUSTOM6,CUSTOM7,CUSTOM8,DEADBAND,EDITCODE,ENG_FULL,ENG_UNITS,ENG_ZERO,EQUIP,FORMAT,HISTORIAN,ITEM,LINKED,OID,RAW_FULL,RAW_ZERO,REF1,REF2,TAGGENLINK,UNIT
FX_X2JX_AI8,INT,Ⅱ系列精选作业蝶阀1开度设定值显示,probable,精选作业蝶阀开度设定值表示操作层面上的充气或排料目标，对系统浮选动力学产生前馈性影响。,暂无采样记录,%MW1045,,,,,,,,,,,,,,,,,,,,,0x000044e0,,,,,,FX1_IODev
FX_X2JX_AI9,INT,Ⅱ系列精选作业气量2实际值,probable,精选作业的第二路气量实际值也是核心充气参数，影响槽内流场和气液分布，影响品位。,[2025/9/10 14:57:35] 79.0 | [2025/9/10 14:58:10] 78.0 | [2025/9/10 14:59:24] 80.0 | [2025/9/10 14:59:41] 84.0 | [2025/9/10 14:59:59] 82.0 | [2025/9/10 15:00:15] 83.0 | [2025/9/10 15:00:39] 81.0 | [2025/9/10 15:00:44] 82.0 | [2025/9/10 15:01:26] 80.0 | [2025/9/10 15:01:40] 80.0,%MW1046,,,,,,,,,,,,,,,,,,,,,0x000044e1,,,,,,FX1_IODev
FX_X2JX_AI10,INT,Ⅱ系列精选作业气量2实际值,probable,此为精选气量2的冗余或补充实际值通道，同样监控影响最终精选脱硅效果的核心流体力学参数。,暂无采样记录,%MW1047,,,,,,,,,,,,,,,,,,,,,0x000044e2,,,,,,FX1_IODev
FX_X2JX_AI11,INT,Ⅱ系列精选作业气量2设定值显示,probable,气量2设定值指示精选槽充气操作点，关系到气泡和活化石英的接触与上浮过程，相关性强。,暂无采样记录,%MW1048,,,,,,,,,,,,,,,,,,,,,0x000044e3,,,,,,FX1_IODev
FX_X2JX_AI12,INT,Ⅱ系列精选作业蝶阀2开度实际值,probable,该变量为精选作业蝶阀开度实际值，蝶阀开度直接控制充气量或矿浆流速，影响气泡生成和浮选动力学，与精矿品位密切相关。,暂无采样记录,%MW1049,,,,,,,,,,,,,,,,,,,,,0x000044e4,,,,,,FX1_IODev
FX_X2JX_AI13,INT,Ⅱ系列精选作业气量3实际值,probable,该变量为精选作业气量实际值，充气量直接决定了气泡的表面积和气含率，对石英的上浮和泡沫层的稳定性具有决定性影响。,[2025/9/10 14:57:55] 129.0 | [2025/9/10 14:58:02] 129.0 | [2025/9/10 14:58:16] 129.0 | [2025/9/10 14:58:37] 130.0 | [2025/9/10 14:58:44] 129.0 | [2025/9/10 14:59:10] 126.0 | [2025/9/10 14:59:26] 132.0 | [2025/9/10 14:59:43] 130.0 | [2025/9/10 15:00:04] 129.0 | [2025/9/10 15:00:20] 129.0,%MW1050,,,,,,,,,,,,,,,,,,,,,0x000044e5,,,,,,FX1_IODev
FX_X2JX_AI14,INT,Ⅱ系列精选作业气量3实际值,probable,该变量为精选作业气量实际值，充气系统是浮选的核心动力学因素，直接影响杂质脱除效率和精矿品位。,暂无采样记录,%MW1051,,,,,,,,,,,,,,,,,,,,,0x000044e6,,,,,,FX1_IODev
FX_X2JX_AI15,INT,Ⅱ系列精选作业气量3设定值显示,questionable,该变量为气量设定值显示，虽然反映了操作意图，但在实际工艺中，真正参与物理化学反应的是实际气量，设定值可能存在执行残差，故作为参考。,[2025/9/10 14:48:29] 16.0,%MW1052,,,,,,,,,,,,,,,,,,,,,0x000044e7,,,,,,FX1_IODev
FX_X2JX_AI16,INT,Ⅱ系列精选作业蝶阀3开度实际值,probable,该变量为精选作业蝶阀开度实际值，控制着气体或流体的输入量，直接参与流体动力学过程，与最终品位高度相关。,暂无采样记录,%MW1053,,,,,,,,,,,,,,,,,,,,,0x000044e8,,,,,,FX1_IODev
FX_X2JX_AI38,INT,Ⅱ系列精选作业电动阀开度,probable,精选作业电动阀开度控制物料或气流的通过量，直接影响液位或充气动态，对精选提纯有直接作用。,[2025/9/10 14:48:29] -4.0 | [2025/9/11 0:30:04] -4.0 | [2025/9/11 0:35:35] -4.0 | [2025/9/11 0:35:59] -4.0 | [2025/9/11 0:37:51] -4.0 | [2025/9/11 0:45:18] -4.0 | [2025/9/11 0:47:48] -4.0 | [2025/9/11 0:48:28] -3.0 | [2025/9/11 0:48:51] -4.0 | [2025/9/11 0:49:26] -4.0,%MW1075,,,,,,,,,,,,,,,,,,,,,0x000044ff,,,,,,FX1_IODev
FX_X2SX1_AI1,INT,Ⅱ系列扫选1作业泡沫层厚度实际值,probable,扫选作业泡沫层厚度实际值是浮选操作的核心变量，直接决定了脉石的刮出率和铁矿物的夹带损失。,[2025/9/10 14:53:40] 480.0 | [2025/9/10 14:58:02] 481.0 | [2025/9/10 14:58:14] 480.0 | [2025/9/10 14:59:26] 480.0 | [2025/9/10 14:59:54] 480.0 | [2025/9/10 15:01:00] 480.0 | [2025/9/10 15:01:25] 480.0 | [2025/9/10 15:01:53] 480.0 | [2025/9/10 15:02:19] 480.0 | [2025/9/10 15:02:43] 480.0,%MW1076,,,,,,,,,,,,,,,,,,,,,0x00004500,,,,,,FX1_IODev
FX_X2SX1_AI2,INT,Ⅱ系列扫选1作业泡沫层厚度设定值显示,questionable,泡沫层厚度设定值是操作工给定的目标，虽然指导工艺方向，但受控制延迟影响，实际值才反映真实工况。,暂无采样记录,%MW1077,,,,,,,,,,,,,,,,,,,,,0x00004501,,,,,,FX1_IODev
FX_X2SX1_AI3,INT,Ⅱ系列扫选1作业液位阀1开度实际值,probable,液位阀开度实际值决定了尾矿排量，进而控制浮选槽液位和泡沫层厚度，属于高度相关的控制变量。,暂无采样记录,%MW1078,,,,,,,,,,,,,,,,,,,,,0x00004502,,,,,,FX1_IODev
FX_X2SX1_AI4,INT,Ⅱ系列扫选1作业液位阀1开度设定显示,questionable,液位阀开度设定值仅为控制回路的目标值，阀门可能存在死区或磨损，实际开度更具决定性。,暂无采样记录,%MW1079,,,,,,,,,,,,,,,,,,,,,0x00004503,,,,,,FX1_IODev
FX_X2SX1_AI5,INT,Ⅱ系列扫选1作业气量1实际值,probable,扫选气量实际值决定了二次富集和扫选回收时的气泡携带能力，直接关系到尾矿是否跑铁及最终中矿循环量。,[2025/9/10 14:57:41] 80.0 | [2025/9/10 14:58:03] 82.0 | [2025/9/10 14:58:17] 80.0 | [2025/9/10 14:58:35] 81.0 | [2025/9/10 14:58:49] 80.0 | [2025/9/10 14:59:20] 80.0 | [2025/9/10 14:59:34] 79.0 | [2025/9/10 14:59:59] 79.0 | [2025/9/10 15:00:18] 81.0 | [2025/9/10 15:00:34] 79.0,%MW1080,,,,,,,,,,,,,,,,,,,,,0x00004505,,,,,,FX1_IODev
FX_X2SX1_AI6,INT,Ⅱ系列扫选1作业气量1设定值显示,questionable,扫选气量设定值只是系统给定的期望值，存在控制偏差，对过程的描述不如实际测量值精确。,暂无采样记录,%MW1081,,,,,,,,,,,,,,,,,,,,,0x00004506,,,,,,FX1_IODev
FX_X2SX1_AI7,INT,Ⅱ系列扫选1作业蝶阀1开度实际值,probable,扫选蝶阀开度实际值影响该段浮选槽的充气量分布，是直接改变浮选流体力学环境的执行参数。,[2025/9/10 14:53:25] 25.0 | [2025/9/10 15:40:38] 24.0 | [2025/9/10 15:41:13] 25.0 | [2025/9/10 15:57:23] 24.0 | [2025/9/10 15:58:01] 25.0 | [2025/9/10 15:58:40] 24.0 | [2025/9/10 16:00:23] 23.0 | [2025/9/10 16:01:15] 23.0 | [2025/9/10 16:02:22] 23.0 | [2025/9/10 16:05:29] 22.0,%MW1082,,,,,,,,,,,,,,,,,,,,,0x00004507,,,,,,FX1_IODev
FX_X2SX1_AI8,INT,Ⅱ系列扫选1作业蝶阀1开度设定值显示,questionable,蝶阀开度设定值为给定信号，受机械迟滞影响无法完美等同于实际气流阻力，属于次要参考。,暂无采样记录,%MW1083,,,,,,,,,,,,,,,,,,,,,0x00004508,,,,,,FX1_IODev
FX_X2SX1_AI9,INT,Ⅱ系列扫选1作业气量2实际值,probable,扫选气量2实际值直接影响该区域的充气搅拌强度和气含率，对泡沫的生成和脉石刮出至关重要。,[2025/9/10 14:57:51] 80.0 | [2025/9/10 14:58:18] 77.0 | [2025/9/10 14:58:25] 80.0 | [2025/9/10 14:58:54] 78.0 | [2025/9/10 14:59:07] 80.0 | [2025/9/10 14:59:26] 80.0 | [2025/9/10 14:59:47] 77.0 | [2025/9/10 15:00:03] 82.0 | [2025/9/10 15:00:18] 82.0 | [2025/9/10 15:00:38] 80.0,%MW1084,,,,,,,,,,,,,,,,,,,,,0x00004509,,,,,,FX1_IODev
FX_X2SX1_AI10,INT,Ⅱ系列扫选1作业气量2实际值,probable,与同类气量实际值一样，真实充入矿浆的空气流量是气泡矿化热力学的基础，相关性极高。,暂无采样记录,%MW1085,,,,,,,,,,,,,,,,,,,,,0x0000450a,,,,,,FX1_IODev
FX_X2SX1_AI11,INT,Ⅱ系列扫选1作业气量2设定值显示,questionable,气量2设定值用于PID回路调节，但真正决定浮选效果的是实际达到的气量，此变量带有不确定性。,暂无采样记录,%MW1086,,,,,,,,,,,,,,,,,,,,,0x0000450b,,,,,,FX1_IODev
FX_X2SX1_AI12,INT,Ⅱ系列扫选1作业蝶阀2开度实际值,probable,蝶阀2开度实际值调控气路通道，影响气泡尺寸和数量，是控制扫选效果的一线反馈数据。,[2025/9/10 14:48:29] 20.0 | [2025/9/10 15:30:24] 23.0 | [2025/9/10 15:30:49] 25.0 | [2025/9/10 15:31:17] 27.0 | [2025/9/10 15:31:29] 28.0 | [2025/9/10 15:31:53] 30.0 | [2025/9/10 15:32:04] 31.0 | [2025/9/10 15:32:25] 28.0 | [2025/9/10 15:32:37] 27.0 | [2025/9/10 15:32:56] 25.0,%MW1087,,,,,,,,,,,,,,,,,,,,,0x0000450c,,,,,,FX1_IODev
FX_X2SX1_AI13,INT,Ⅱ系列扫选1作业气量3实际值,probable,扫选气量3实际值是扫选末端气泡生成能力的直接体现，影响最终的回收底线。,[2025/9/10 14:48:29] 1.0 | [2025/9/11 13:42:53] 13.0 | [2025/9/11 13:43:10] 454.0 | [2025/9/11 13:43:33] 212.0 | [2025/9/11 13:43:50] 173.0 | [2025/9/11 13:44:10] 223.0 | [2025/9/11 13:44:31] 128.0 | [2025/9/11 13:44:46] 121.0 | [2025/9/11 13:45:09] 119.0 | [2025/9/11 13:45:30] 120.0,%MW1088,,,,,,,,,,,,,,,,,,,,,0x0000450d,,,,,,FX1_IODev
FX_X2SX1_AI14,INT,Ⅱ系列扫选1作业气量3实际值,probable,扫选气量3实际值客观反映了进入浮选槽的实际气体流体动力学条件，必不可少。,暂无采样记录,%MW1089,,,,,,,,,,,,,,,,,,,,,0x0000450e,,,,,,FX1_IODev
FX_X2SX1_AI15,INT,Ⅱ系列扫选1作业气量3设定值显示,questionable,气量3设定值仅代表控制意图，在发生管路堵塞或气压不足时无法反映真实状态，存在模糊性。,暂无采样记录,%MW1090,,,,,,,,,,,,,,,,,,,,,0x0000450f,,,,,,FX1_IODev
FX_X2SX1_AI16,INT,Ⅱ系列扫选1作业蝶阀3开度实际值,probable,蝶阀3开度实际值改变局部气量配置，影响泡沫层的稳定与刮泡节奏，对工艺有实际贡献。,暂无采样记录,%MW1091,,,,,,,,,,,,,,,,,,,,,0x00004510,,,,,,FX1_IODev
FX_X2SX1_AI38,INT,Ⅱ系列扫选1作业电动阀开度,probable,电动阀开度直接控制矿浆在不同作业段之间的流动、液位或排料节奏。流体控制是浮选操作的核心手段，液位和流速直接决定停留时间和刮泡量，对最终精矿品位高度相关。,暂无采样记录,%MW1113,,,,,,,,,,,,,,,,,,,,,0x00004527,,,,,,FX1_IODev
FX_X2SX2_AI1,INT,Ⅱ系列扫选2作业泡沫层厚度实际值,probable,泡沫层厚度实际值是浮选操作最关键的状态变量之一。根据工艺信息，泡沫层变薄会增加排硅量有利品位但易夹带铁，泡沫变厚则相反，直接影响最终脱硅效果。,[2025/9/10 14:56:06] 140.0 | [2025/9/10 14:59:59] 140.0 | [2025/9/10 15:00:15] 139.0 | [2025/9/10 15:00:36] 140.0 | [2025/9/10 15:01:49] 139.0 | [2025/9/10 15:02:05] 140.0 | [2025/9/10 15:02:09] 139.0 | [2025/9/10 15:02:37] 139.0 | [2025/9/10 15:02:45] 140.0 | [2025/9/10 15:03:08] 139.0,%MW1114,,,,,,,,,,,,,,,,,,,,,0x00004528,,,,,,FX1_IODev
FX_X2SX2_AI2,INT,Ⅱ系列扫选2作业泡沫层厚度设定值显示,probable,泡沫层厚度设定值是自动化控制系统（APC）的操作目标，体现了当前的工艺调控意图，与实际厚度共同决定排料动作，是重要的建模特征。,暂无采样记录,%MW1115,,,,,,,,,,,,,,,,,,,,,0x00004529,,,,,,FX1_IODev
FX_X2SX2_AI3,INT,Ⅱ系列扫选2作业液位阀1开度实际值,probable,液位阀开度实际值是调节浮选槽内液位高度的直接执行机构数据。液位高低直接决定刮泡排量，进而影响精矿品位和尾矿品位的平衡，非常相关。,暂无采样记录,%MW1116,,,,,,,,,,,,,,,,,,,,,0x0000452a,,,,,,FX1_IODev
FX_X2SX2_AI4,INT,Ⅱ系列扫选2作业液位阀1开度设定显示,probable,液位阀开度设定值反映了控制回路对于浮选槽液位目标的动态追求，是影响浮选槽内流体状态和停留时间的关键控制指令。,暂无采样记录,%MW1117,,,,,,,,,,,,,,,,,,,,,0x0000452b,,,,,,FX1_IODev
FX_X2SX2_AI5,INT,Ⅱ系列扫选2作业气量1实际值,probable,气量实际值决定了槽内生成气泡的总表面积。充气量不足会导致石英无法浮出（品位不达标），充气量过大则会引起翻花和机械夹带，因此与品位强相关。,[2025/9/10 14:48:29] 1.0 | [2025/9/10 15:03:29] 1.0 | [2025/9/10 15:07:57] 1.0 | [2025/9/10 15:14:23] 1.0 | [2025/9/10 15:21:11] 1.0 | [2025/9/10 15:26:16] 1.0 | [2025/9/10 15:29:25] 1.0 | [2025/9/10 15:33:51] 216.0 | [2025/9/10 15:34:08] 451.0 | [2025/9/10 15:34:22] 440.0,%MW1118,,,,,,,,,,,,,,,,,,,,,0x0000452c,,,,,,FX1_IODev
FX_X2SX2_AI6,INT,Ⅱ系列扫选2作业气量1设定值显示,probable,气量设定值是充气控制回路的基准信号，代表当前工艺制度要求的充气强度，它驱动了实际气量的变化，对品位有前瞻性指导作用。,暂无采样记录,%MW1119,,,,,,,,,,,,,,,,,,,,,0x0000452d,,,,,,FX1_IODev
FX_X2SX2_AI7,INT,Ⅱ系列扫选2作业蝶阀1开度实际值,probable,蝶阀通常用于调节浮选系统的空气流量或矿浆管路流量。开度变化会改变浮选机内的流体动力学条件或充气强度，直接影响气泡运载石英的能力。,[2025/9/10 14:48:29] 100.0 | [2025/9/10 15:34:08] 83.0 | [2025/9/10 15:34:24] 81.0 | [2025/9/10 15:34:41] 74.0 | [2025/9/10 15:34:50] 70.0 | [2025/9/10 15:35:08] 64.0 | [2025/9/10 15:35:27] 58.0 | [2025/9/10 15:35:44] 52.0 | [2025/9/10 15:36:04] 46.0 | [2025/9/10 15:36:23] 40.0,%MW1120,,,,,,,,,,,,,,,,,,,,,0x0000452f,,,,,,FX1_IODev
FX_X2SX2_AI8,INT,Ⅱ系列扫选2作业蝶阀1开度设定值显示,probable,蝶阀开度设定值是控制系统对风量或物料平衡干预的指令依据，反映了操作工况的动态调整，与浮选脱硅效果具有因果关联。,暂无采样记录,%MW1121,,,,,,,,,,,,,,,,,,,,,0x00004530,,,,,,FX1_IODev
FX_X2SX2_AI9,INT,Ⅱ系列扫选2作业气量2实际值,probable,扫选2作业气量2实际值记录了充气状况，气量大小直接决定气泡比表面积以及浮选动力学速率，是决定能否有效刮出脉石的核心控制参数。,[2025/9/10 14:57:39] 124.0 | [2025/9/10 14:58:16] 125.0 | [2025/9/10 14:58:37] 124.0 | [2025/9/10 14:58:49] 124.0 | [2025/9/10 14:58:58] 125.0 | [2025/9/10 14:59:19] 125.0 | [2025/9/10 14:59:36] 124.0 | [2025/9/10 15:00:20] 125.0 | [2025/9/10 15:00:34] 125.0 | [2025/9/10 15:01:04] 125.0,%MW1122,,,,,,,,,,,,,,,,,,,,,0x00004531,,,,,,FX1_IODev
FX_X2SX2_AI10,INT,Ⅱ系列扫选2作业气量2设定值显示,probable,气量设定值显示了操作人员或控制算法对槽内充气强度的期望，是调节气泡量从而平衡铁回收与硅脱除过程的重要工艺变量。,暂无采样记录,%MW1123,,,,,,,,,,,,,,,,,,,,,0x00004532,,,,,,FX1_IODev
FX_X2SX2_AI11,INT,Ⅱ系列扫选2作业蝶阀2开度实际值,probable,蝶阀2开度实际值涉及对气体流速或矿浆液位的物理节流控制，执行结果将改变设备内部的流场，从而改变泡沫的稳定性及夹带情况。,暂无采样记录,%MW1124,,,,,,,,,,,,,,,,,,,,,0x00004533,,,,,,FX1_IODev
